"","x"
"1","CD4 T"
"2","CD4 T"
"3","CD4 T"
"4","CD4 T"
"5","B"
"6","CD4 T"
"7","DC"
"8","other T"
"9","CD4 T"
"10","CD4 T"
"11","CD4 T"
"12","CD4 T"
"13","CD4 T"
"14","CD4 T"
"15","CD4 T"
"16","NK"
"17","other T"
"18","other T"
"19","CD4 T"
"20","other T"
"21","CD4 T"
"22","CD4 T"
"23","other T"
"24","CD4 T"
"25","CD4 T"
"26","CD4 T"
"27","CD4 T"
"28","CD4 T"
"29","CD4 T"
"30","CD4 T"
"31","CD4 T"
"32","CD4 T"
"33","CD4 T"
"34","NK"
"35","CD4 T"
"36","CD4 T"
"37","CD4 T"
"38","other"
"39","other T"
"40","CD4 T"
"41","CD4 T"
"42","CD4 T"
"43","CD4 T"
"44","CD4 T"
"45","CD4 T"
"46","other T"
"47","CD4 T"
"48","CD4 T"
"49","CD4 T"
"50","other T"
"51","CD4 T"
"52","CD4 T"
"53","CD4 T"
"54","other T"
"55","other T"
"56","Mono"
"57","NK"
"58","CD4 T"
"59","CD4 T"
"60","B"
"61","CD4 T"
"62","CD4 T"
"63","CD4 T"
"64","CD4 T"
"65","CD4 T"
"66","CD4 T"
"67","B"
"68","CD4 T"
"69","CD4 T"
"70","CD4 T"
"71","CD4 T"
"72","CD4 T"
"73","CD4 T"
"74","CD4 T"
"75","other"
"76","CD4 T"
"77","other T"
"78","CD4 T"
"79","CD4 T"
"80","CD4 T"
"81","CD4 T"
"82","CD4 T"
"83","other T"
"84","CD4 T"
"85","B"
"86","CD4 T"
"87","CD4 T"
"88","NK"
"89","CD4 T"
"90","other T"
"91","CD4 T"
"92","CD4 T"
"93","other T"
"94","CD4 T"
"95","CD4 T"
"96","B"
"97","CD4 T"
"98","CD4 T"
"99","Mono"
"100","CD4 T"
"101","CD4 T"
"102","CD4 T"
"103","CD4 T"
"104","CD4 T"
"105","Mono"
"106","B"
"107","B"
"108","CD4 T"
"109","CD4 T"
"110","CD4 T"
"111","CD4 T"
"112","NK"
"113","Mono"
"114","CD4 T"
"115","CD4 T"
"116","other T"
"117","CD4 T"
"118","CD4 T"
"119","CD4 T"
"120","CD4 T"
"121","CD4 T"
"122","CD4 T"
"123","CD4 T"
"124","CD4 T"
"125","CD4 T"
"126","CD4 T"
"127","CD4 T"
"128","CD4 T"
"129","CD4 T"
"130","CD4 T"
"131","CD4 T"
"132","CD4 T"
"133","CD4 T"
"134","B"
"135","CD4 T"
"136","CD4 T"
"137","CD4 T"
"138","CD4 T"
"139","CD4 T"
"140","CD4 T"
"141","CD4 T"
"142","B"
"143","CD4 T"
"144","CD4 T"
"145","CD4 T"
"146","CD4 T"
"147","CD4 T"
"148","CD4 T"
"149","CD4 T"
"150","CD4 T"
