,x
1,CD8 Naive
2,CD14 Mono
3,CD4 Naive
4,CD8 Effector_1
5,Prog_B 2
6,CD56 bright NK
7,CD8 Naive
8,NK
9,CD8 Naive
10,CD14 Mono
11,CD8 Naive
12,CD8 Naive
13,Memory B
14,CD4 Memory
15,Memory B
16,CD4 Memory
17,HSC
18,CD4 Naive
19,CD4 Memory
20,CD8 Effector_2
21,cDC2
22,CD14 Mono
23,CD4 Memory
24,Naive B
25,CD14 Mono
26,CD4 Naive
27,CD14 Mono
28,CD4 Naive
29,Prog_B 1
30,CD4 Naive
31,Naive B
32,CD8 Naive
33,Prog_B 2
34,CD14 Mono
35,Memory B
36,Prog_B 2
37,CD8 Memory_2
38,CD4 Memory
39,Naive B
40,Naive B
41,CD4 Naive
42,CD4 Naive
43,CD8 Memory_1
44,CD4 Naive
45,CD4 Memory
46,Naive B
47,CD14 Mono
48,CD4 Memory
49,CD4 Memory
50,CD14 Mono
51,HSC
52,CD8 Memory_2
53,Naive B
54,GMP
55,CD14 Mono
56,Naive B
57,CD4 Naive
58,CD8 Memory_1
59,Naive B
60,GMP
61,CD4 Naive
62,CD4 Naive
63,CD14 Mono
64,CD14 Mono
65,CD4 Naive
66,CD4 Memory
67,CD14 Mono
68,CD4 Naive
69,Naive B
70,Naive B
71,CD8 Memory_1
72,CD4 Memory
73,CD8 Effector_1
74,CD8 Naive
75,CD8 Effector_2
76,CD4 Memory
77,CD4 Naive
78,CD4 Memory
79,CD8 Naive
80,Memory B
81,MAIT
82,CD4 Naive
83,Prog_B 1
84,CD4 Memory
85,CD4 Naive
86,CD4 Naive
87,CD4 Memory
88,Prog_RBC
89,CD14 Mono
90,CD8 Effector_1
91,CD8 Effector_1
92,Plasmablast
93,Naive B
94,Memory B
95,CD14 Mono
96,Naive B
97,Naive B
98,CD14 Mono
99,Memory B
100,CD4 Naive
101,CD8 Naive
102,CD4 Naive
103,Prog_B 1
104,GMP
105,CD4 Naive
106,CD4 Naive
107,Prog_B 2
108,Naive B
109,Naive B
110,Memory B
111,Naive B
112,CD4 Naive
113,CD4 Naive
114,CD4 Naive
115,CD8 Effector_2
116,CD14 Mono
117,Naive B
118,CD4 Naive
119,Naive B
120,CD4 Naive
121,CD4 Naive
122,CD8 Naive
123,CD4 Naive
124,CD14 Mono
125,CD14 Mono
126,CD4 Naive
127,Prog_RBC
128,Memory B
129,Naive B
130,CD4 Memory
131,CD4 Memory
132,CD14 Mono
133,Naive B
134,gdT
135,CD8 Naive
136,CD8 Naive
137,CD4 Memory
138,Naive B
139,CD14 Mono
140,CD8 Naive
141,CD4 Naive
142,CD4 Memory
143,Prog_RBC
144,CD14 Mono
145,CD4 Memory
146,CD4 Naive
147,CD4 Memory
148,NK
149,CD8 Naive
150,CD4 Memory
151,CD4 Memory
152,CD8 Memory_1
153,CD8 Effector_1
154,CD8 Naive
155,CD8 Memory_2
156,Memory B
157,Prog_B 1
158,Naive B
159,CD14 Mono
160,CD4 Memory
161,CD4 Naive
162,CD4 Memory
163,CD4 Naive
164,Prog_RBC
165,Naive B
166,Prog_RBC
167,CD8 Effector_2
168,CD4 Memory
169,CD4 Naive
170,Prog_RBC
171,GMP
172,CD14 Mono
173,CD4 Naive
174,Prog_RBC
175,pDC
176,CD4 Naive
177,Memory B
178,CD8 Effector_1
179,Naive B
180,NK
181,CD14 Mono
182,CD4 Memory
183,CD4 Memory
184,CD4 Naive
185,CD8 Memory_1
186,CD4 Naive
187,CD8 Memory_2
188,CD14 Mono
189,MAIT
190,Naive B
191,Naive B
192,CD8 Naive
193,Prog_RBC
194,CD4 Naive
195,CD4 Naive
196,CD4 Naive
197,CD4 Memory
198,CD8 Effector_1
199,CD4 Naive
200,CD4 Naive
201,Prog_B 2
202,CD4 Memory
203,Prog_B 2
204,CD4 Naive
205,CD8 Memory_1
206,CD14 Mono
207,CD4 Naive
208,GMP
209,CD4 Naive
210,CD8 Naive
211,Memory B
212,CD8 Naive
213,CD4 Memory
214,CD4 Naive
215,CD4 Memory
216,CD14 Mono
217,cDC2
218,Naive B
219,CD4 Memory
220,CD14 Mono
221,CD4 Memory
222,CD4 Memory
223,LMPP
224,Prog_B 2
225,CD4 Memory
226,CD4 Naive
227,NK
228,Naive B
229,Naive B
230,CD8 Naive
231,MAIT
232,Memory B
233,CD4 Memory
234,CD8 Memory_2
235,Naive B
236,CD4 Naive
237,CD8 Effector_2
238,MAIT
239,CD14 Mono
240,CD4 Naive
241,Naive B
242,CD8 Naive
243,LMPP
244,Prog_B 1
245,CD8 Memory_2
246,CD8 Naive
247,CD8 Naive
248,CD8 Naive
249,CD4 Memory
250,CD4 Memory
251,CD8 Naive
252,Prog_B 1
253,NK
254,CD4 Naive
255,CD8 Naive
256,CD14 Mono
257,CD14 Mono
258,CD4 Naive
259,CD14 Mono
260,CD4 Memory
261,CD8 Naive
262,Naive B
263,CD14 Mono
264,CD8 Effector_1
265,Naive B
266,CD14 Mono
267,GMP
268,CD4 Naive
269,CD14 Mono
270,CD4 Naive
271,CD14 Mono
272,pDC
273,Naive B
274,Prog_B 1
275,CD8 Memory_2
276,Naive B
277,CD14 Mono
278,CD4 Naive
279,CD8 Naive
280,CD8 Memory_2
281,CD4 Memory
282,GMP
283,CD4 Naive
284,CD4 Naive
285,Prog_Mk
286,Prog_RBC
287,Naive B
288,Naive B
289,Naive B
290,CD4 Memory
291,Naive B
292,CD8 Memory_2
293,CD4 Memory
294,Naive B
295,CD4 Naive
296,Prog_RBC
297,CD4 Memory
298,CD4 Naive
299,Prog_RBC
300,CD4 Memory
301,CD8 Naive
302,CD8 Memory_2
303,CD4 Memory
304,CD8 Naive
305,Naive B
306,NK
307,Memory B
308,CD8 Naive
309,CD4 Naive
310,Naive B
311,CD8 Naive
312,CD4 Naive
313,cDC2
314,CD4 Naive
315,CD8 Naive
316,Memory B
317,NK
318,Prog_B 1
319,HSC
320,CD4 Naive
321,CD4 Naive
322,Naive B
323,CD4 Memory
324,GMP
325,CD8 Naive
326,Naive B
327,CD4 Naive
328,CD8 Naive
329,CD14 Mono
330,CD14 Mono
331,CD4 Naive
332,CD4 Naive
333,CD4 Memory
334,CD4 Naive
335,Memory B
336,CD8 Naive
337,CD4 Naive
338,CD14 Mono
339,CD4 Naive
340,CD4 Naive
341,CD8 Naive
342,CD4 Memory
343,CD4 Naive
344,CD4 Naive
345,CD4 Naive
346,CD4 Memory
347,Naive B
348,CD4 Naive
349,Memory B
350,Prog_B 2
351,Prog_RBC
352,CD4 Naive
353,CD8 Naive
354,CD8 Naive
355,Naive B
356,CD4 Memory
357,CD14 Mono
358,CD4 Naive
359,CD8 Effector_2
360,CD4 Memory
361,CD4 Naive
362,Naive B
363,Naive B
364,Prog_B 1
365,CD14 Mono
366,CD14 Mono
367,Plasmablast
368,CD4 Naive
369,CD4 Memory
370,Naive B
371,Naive B
372,Plasmablast
373,Naive B
374,LMPP
375,CD8 Naive
376,Naive B
377,CD14 Mono
378,CD4 Naive
379,Memory B
380,CD4 Naive
381,Naive B
382,Naive B
383,CD14 Mono
384,Naive B
385,CD8 Naive
386,CD4 Naive
387,CD4 Naive
388,CD8 Naive
389,CD8 Effector_2
390,CD4 Naive
391,CD4 Naive
392,CD14 Mono
393,CD8 Effector_1
394,CD4 Naive
395,CD8 Memory_2
396,CD4 Memory
397,CD8 Memory_2
398,Naive B
399,CD4 Naive
400,CD8 Naive
401,CD4 Memory
402,MAIT
403,CD4 Naive
404,CD8 Naive
405,CD8 Naive
406,Naive B
407,Naive B
408,CD8 Naive
409,Prog_RBC
410,CD4 Naive
411,CD4 Memory
412,CD14 Mono
413,CD14 Mono
414,CD4 Memory
415,CD8 Memory_1
416,HSC
417,CD14 Mono
418,CD8 Effector_2
419,CD4 Memory
420,Naive B
421,CD8 Naive
422,NK
423,CD4 Naive
424,CD4 Memory
425,CD4 Memory
426,CD4 Memory
427,CD4 Memory
428,Memory B
429,CD8 Memory_2
430,CD4 Memory
431,Prog_RBC
432,CD4 Naive
433,Naive B
434,Naive B
435,CD8 Naive
436,CD4 Memory
437,CD4 Naive
438,CD4 Naive
439,CD4 Memory
440,CD14 Mono
441,CD4 Naive
442,CD14 Mono
443,Naive B
444,CD8 Naive
445,CD14 Mono
446,CD8 Effector_1
447,CD4 Naive
448,CD14 Mono
449,Memory B
450,Plasmablast
451,CD4 Memory
452,CD4 Naive
453,Naive B
454,MAIT
455,Memory B
456,CD8 Effector_2
457,CD14 Mono
458,CD8 Memory_1
459,CD14 Mono
460,CD4 Naive
461,CD4 Memory
462,cDC2
463,CD8 Naive
464,CD8 Memory_2
465,CD8 Effector_2
466,Naive B
467,CD8 Effector_2
468,CD4 Naive
469,GMP
470,CD4 Memory
471,CD4 Naive
472,CD4 Memory
473,NK
474,CD4 Naive
475,CD4 Naive
476,Memory B
477,CD4 Naive
478,CD4 Naive
479,Memory B
480,CD4 Naive
481,Prog_RBC
482,CD8 Effector_2
483,CD8 Memory_1
484,CD14 Mono
485,Prog_RBC
486,Naive B
487,Naive B
488,CD14 Mono
489,CD4 Memory
490,Naive B
491,CD8 Naive
492,CD4 Naive
493,Naive B
494,pDC
495,Prog_B 2
496,CD4 Memory
497,CD4 Naive
498,Prog_RBC
499,Prog_RBC
500,CD4 Naive
501,CD8 Memory_2
502,CD8 Naive
503,CD8 Naive
504,Prog_B 1
505,CD8 Naive
506,CD4 Memory
507,CD14 Mono
508,Naive B
509,CD8 Naive
510,NK
511,Prog_RBC
512,CD4 Memory
513,CD14 Mono
514,CD8 Effector_2
515,Naive B
516,CD4 Memory
517,Naive B
518,Naive B
519,CD14 Mono
520,CD4 Naive
521,NK
522,CD14 Mono
523,CD4 Naive
524,CD14 Mono
525,Prog_B 1
526,CD4 Memory
527,CD4 Memory
528,CD8 Effector_1
529,Prog_B 1
530,CD4 Memory
531,Prog_B 2
532,CD4 Memory
533,Prog_DC
534,GMP
535,CD14 Mono
536,CD8 Memory_2
537,Prog_B 1
538,CD8 Memory_2
539,CD4 Naive
540,CD8 Naive
541,Memory B
542,Naive B
543,CD14 Mono
544,CD8 Effector_1
545,GMP
546,CD8 Naive
547,GMP
548,CD4 Naive
549,Naive B
550,Naive B
551,CD4 Memory
552,Naive B
553,Naive B
554,Prog_B 2
555,CD4 Naive
556,Naive B
557,CD4 Memory
558,CD4 Memory
559,Prog_DC
560,CD8 Naive
561,MAIT
562,CD4 Memory
563,Naive B
564,CD8 Naive
565,CD4 Memory
566,CD4 Memory
567,CD4 Memory
568,Memory B
569,CD4 Naive
570,CD8 Naive
571,Naive B
572,CD4 Memory
573,CD14 Mono
574,CD8 Naive
575,CD8 Effector_1
576,CD4 Memory
577,HSC
578,CD4 Naive
579,CD4 Naive
580,Memory B
581,CD8 Naive
582,CD4 Naive
583,CD8 Naive
584,CD4 Memory
585,Naive B
586,Naive B
587,CD8 Naive
588,CD4 Naive
589,Naive B
590,Naive B
591,Memory B
592,CD8 Memory_1
593,Naive B
594,CD8 Memory_2
595,CD8 Naive
596,Naive B
597,CD4 Memory
598,CD4 Memory
599,CD8 Effector_1
600,CD4 Naive
601,CD14 Mono
602,CD14 Mono
603,CD14 Mono
604,CD4 Memory
605,CD8 Naive
606,Naive B
607,CD4 Memory
608,CD4 Naive
609,CD14 Mono
610,Naive B
611,CD8 Effector_1
612,GMP
613,Naive B
614,CD8 Memory_1
615,CD56 bright NK
616,Prog_B 1
617,CD8 Effector_2
618,CD14 Mono
619,Naive B
620,CD4 Naive
621,CD14 Mono
622,Prog_B 1
623,Prog_RBC
624,CD8 Effector_2
625,CD4 Naive
626,CD14 Mono
627,CD8 Memory_1
628,CD4 Memory
629,CD14 Mono
630,CD4 Naive
631,Naive B
632,CD8 Naive
633,CD4 Naive
634,CD14 Mono
635,CD8 Effector_1
636,CD4 Naive
637,CD4 Naive
638,CD8 Effector_2
639,cDC2
640,GMP
641,CD14 Mono
642,Prog_B 2
643,NK
644,CD8 Effector_1
645,Plasmablast
646,CD4 Memory
647,CD4 Naive
648,CD8 Memory_2
649,Naive B
650,CD14 Mono
651,Memory B
652,Memory B
653,CD8 Memory_2
654,CD4 Naive
655,Naive B
656,CD4 Memory
657,CD4 Memory
658,CD8 Memory_2
659,CD8 Memory_2
660,NK
661,NK
662,CD4 Memory
663,GMP
664,CD8 Memory_2
665,CD4 Naive
666,CD14 Mono
667,Naive B
668,CD4 Memory
669,CD4 Memory
670,CD14 Mono
671,CD4 Naive
672,NK
673,CD8 Effector_1
674,Naive B
675,Prog_RBC
676,Naive B
677,CD14 Mono
678,Prog_B 1
679,CD4 Naive
680,Memory B
681,CD8 Naive
682,CD14 Mono
683,Memory B
684,Naive B
685,NK
686,Memory B
687,CD14 Mono
688,CD4 Naive
689,Naive B
690,CD8 Memory_2
691,Naive B
692,CD4 Naive
693,CD14 Mono
694,CD8 Naive
695,Naive B
696,Naive B
697,CD8 Effector_2
698,Memory B
699,GMP
700,CD4 Memory
701,Prog_RBC
702,CD8 Memory_1
703,Naive B
704,CD14 Mono
705,CD4 Memory
706,CD4 Memory
707,CD4 Naive
708,Prog_B 1
709,GMP
710,pDC
711,CD4 Naive
712,CD4 Memory
713,CD14 Mono
714,CD8 Memory_2
715,Naive B
716,gdT
717,CD8 Naive
718,Prog_RBC
719,CD4 Naive
720,CD8 Naive
721,GMP
722,CD4 Memory
723,CD8 Naive
724,CD14 Mono
725,CD14 Mono
726,CD4 Naive
727,CD4 Naive
728,CD14 Mono
729,Prog_B 1
730,Prog_B 2
731,CD4 Naive
732,CD4 Memory
733,CD8 Effector_2
734,Prog_RBC
735,CD8 Naive
736,CD8 Memory_2
737,NK
738,CD14 Mono
739,CD4 Memory
740,CD4 Naive
741,CD8 Effector_1
742,CD8 Effector_2
743,Naive B
744,CD14 Mono
745,CD8 Naive
746,Naive B
747,CD8 Naive
748,Prog_RBC
749,CD8 Memory_2
750,Naive B
751,Memory B
752,Naive B
753,CD14 Mono
754,CD4 Naive
755,CD16 Mono
756,GMP
757,NK
758,CD8 Memory_2
759,CD4 Naive
760,CD14 Mono
761,CD4 Memory
762,MAIT
763,CD4 Memory
764,CD4 Naive
765,Prog_B 1
766,CD4 Naive
767,CD4 Memory
768,Prog_DC
769,Prog_RBC
770,CD4 Naive
771,CD14 Mono
772,CD8 Memory_2
773,CD4 Naive
774,CD4 Memory
775,CD4 Memory
776,CD4 Memory
777,CD4 Naive
778,CD4 Memory
779,CD8 Naive
780,CD8 Naive
781,Memory B
782,Memory B
783,CD8 Effector_1
784,Prog_RBC
785,MAIT
786,CD4 Memory
787,CD8 Naive
788,CD4 Memory
789,CD4 Naive
790,CD8 Effector_1
791,CD4 Naive
792,Naive B
793,GMP
794,CD8 Effector_2
795,Memory B
796,Prog_RBC
797,GMP
798,CD4 Memory
799,CD4 Memory
800,CD4 Naive
801,CD8 Naive
802,CD4 Memory
803,GMP
804,CD4 Naive
805,Naive B
806,CD4 Naive
807,Prog_B 2
808,CD8 Naive
809,CD14 Mono
810,CD4 Memory
811,CD14 Mono
812,CD4 Naive
813,CD4 Memory
814,NK
815,Naive B
816,CD4 Naive
817,CD4 Naive
818,CD4 Naive
819,CD14 Mono
820,CD4 Naive
821,CD4 Naive
822,GMP
823,Prog_B 1
824,CD4 Naive
825,CD4 Memory
826,Memory B
827,Naive B
828,CD4 Memory
829,CD4 Memory
830,CD4 Naive
831,Naive B
832,CD8 Memory_2
833,CD4 Naive
834,CD8 Effector_2
835,CD8 Naive
836,CD4 Naive
837,CD8 Naive
838,Naive B
839,CD16 Mono
840,CD4 Naive
841,Prog_B 1
842,CD4 Memory
843,CD4 Memory
844,CD14 Mono
845,GMP
846,CD8 Naive
847,CD4 Naive
848,Prog_B 2
849,LMPP
850,CD4 Memory
851,Prog_RBC
852,CD4 Memory
853,MAIT
854,CD4 Naive
855,CD14 Mono
856,Naive B
857,CD4 Naive
858,CD8 Effector_2
859,Naive B
860,CD4 Naive
861,CD8 Naive
862,NK
863,CD4 Naive
864,CD8 Memory_2
865,CD4 Memory
866,Memory B
867,Naive B
868,CD4 Memory
869,CD14 Mono
870,CD4 Memory
871,Memory B
872,CD4 Memory
873,GMP
874,CD14 Mono
875,CD4 Memory
876,CD4 Naive
877,CD4 Memory
878,Prog_RBC
879,CD4 Naive
880,Prog_DC
881,CD8 Naive
882,CD4 Naive
883,CD14 Mono
884,Prog_RBC
885,CD4 Naive
886,Prog_Mk
887,Memory B
888,CD8 Naive
889,Prog_B 1
890,CD4 Naive
891,Prog_B 1
892,Prog_RBC
893,Naive B
894,CD14 Mono
895,CD4 Naive
896,Naive B
897,CD4 Naive
898,CD8 Memory_2
899,CD8 Naive
900,CD8 Naive
901,CD4 Naive
902,Naive B
903,Prog_RBC
904,CD4 Naive
905,Naive B
906,Prog_RBC
907,Memory B
908,CD4 Memory
909,CD4 Naive
910,Plasmablast
911,Naive B
912,Memory B
913,CD14 Mono
914,NK
915,Naive B
916,pDC
917,Naive B
918,CD8 Naive
919,CD8 Naive
920,GMP
921,CD14 Mono
922,CD4 Naive
923,CD4 Naive
924,Prog_B 1
925,Prog_B 1
926,CD14 Mono
927,CD4 Naive
928,CD4 Naive
929,CD4 Memory
930,CD4 Memory
931,CD4 Naive
932,CD4 Naive
933,Prog_RBC
934,CD4 Memory
935,CD8 Effector_1
936,CD4 Memory
937,CD4 Memory
938,Naive B
939,CD4 Naive
940,GMP
941,Naive B
942,Naive B
943,CD8 Effector_1
944,Prog_B 2
945,Prog_RBC
946,CD14 Mono
947,CD4 Naive
948,Naive B
949,CD8 Memory_2
950,CD8 Effector_2
951,CD4 Memory
952,CD14 Mono
953,CD56 bright NK
954,Prog_RBC
955,CD8 Naive
956,Naive B
957,Memory B
958,Naive B
959,CD4 Memory
960,CD8 Naive
961,CD4 Naive
962,CD4 Naive
963,CD14 Mono
964,HSC
965,Naive B
966,CD4 Naive
967,CD4 Memory
968,Memory B
969,CD4 Naive
970,CD4 Memory
971,CD8 Naive
972,GMP
973,CD4 Naive
974,CD8 Effector_1
975,pDC
976,CD4 Memory
977,CD8 Memory_2
978,Naive B
979,LMPP
980,CD4 Naive
981,Naive B
982,CD4 Memory
983,CD14 Mono
984,CD8 Naive
985,CD4 Naive
986,CD4 Naive
987,CD14 Mono
988,CD14 Mono
989,CD8 Naive
990,CD4 Naive
991,CD4 Memory
992,CD4 Naive
993,GMP
994,CD8 Effector_2
995,GMP
996,NK
997,CD4 Naive
998,CD4 Memory
999,CD8 Effector_2
1000,NK
1001,CD4 Naive
1002,Prog_B 1
1003,Prog_B 1
1004,CD8 Effector_2
1005,CD8 Memory_2
1006,Memory B
1007,CD14 Mono
1008,CD14 Mono
1009,CD4 Memory
1010,CD4 Memory
1011,CD4 Memory
1012,Prog_B 1
1013,CD14 Mono
1014,Prog_RBC
1015,CD14 Mono
1016,CD4 Naive
1017,CD8 Memory_2
1018,GMP
1019,NK
1020,NK
1021,CD4 Naive
1022,CD4 Memory
1023,CD14 Mono
1024,CD4 Naive
1025,Prog_B 2
1026,CD4 Memory
1027,Naive B
1028,CD4 Memory
1029,cDC2
1030,CD4 Naive
1031,Naive B
1032,CD14 Mono
1033,NK
1034,CD4 Naive
1035,Naive B
1036,CD4 Naive
1037,CD4 Naive
1038,CD8 Naive
1039,CD4 Memory
1040,CD8 Naive
1041,Prog_B 1
1042,Prog_Mk
1043,GMP
1044,CD14 Mono
1045,CD8 Effector_2
1046,Memory B
1047,CD4 Memory
1048,Naive B
1049,CD4 Naive
1050,NK
1051,CD14 Mono
1052,Memory B
1053,CD4 Naive
1054,GMP
1055,Prog_RBC
1056,CD4 Naive
1057,CD4 Naive
1058,Prog_RBC
1059,CD14 Mono
1060,Memory B
1061,CD4 Naive
1062,CD14 Mono
1063,Naive B
1064,CD14 Mono
1065,CD4 Naive
1066,Naive B
1067,CD8 Memory_2
1068,CD8 Naive
1069,CD4 Naive
1070,CD4 Naive
1071,Prog_B 2
1072,MAIT
1073,CD4 Naive
1074,GMP
1075,MAIT
1076,CD8 Naive
1077,Naive B
1078,pDC
1079,Memory B
1080,Prog_B 2
1081,Naive B
1082,CD4 Memory
1083,CD8 Effector_1
1084,Prog_RBC
1085,Memory B
1086,CD8 Effector_1
1087,CD4 Naive
1088,CD8 Memory_2
1089,CD4 Naive
1090,GMP
1091,CD4 Naive
1092,Prog_B 2
1093,Naive B
1094,Plasmablast
1095,CD8 Effector_2
1096,Naive B
1097,NK
1098,GMP
1099,CD14 Mono
1100,Naive B
1101,GMP
1102,Naive B
1103,Naive B
1104,CD4 Naive
1105,Naive B
1106,CD4 Memory
1107,Naive B
