"","x"
"1","CD4 T"
"2","CD4 T"
"3","B"
"4","CD4 T"
"5","B"
"6","CD4 T"
"7","NK"
"8","other"
"9","other"
"10","CD4 T"
"11","CD4 T"
"12","B"
"13","CD4 T"
"14","CD8 T"
"15","other"
"16","CD8 T"
"17","other T"
"18","other"
"19","Mono"
"20","Mono"
"21","CD4 T"
"22","CD4 T"
"23","B"
"24","CD4 T"
"25","other"
"26","B"
"27","CD8 T"
"28","CD4 T"
"29","CD4 T"
"30","CD8 T"
"31","CD4 T"
"32","CD4 T"
"33","CD4 T"
"34","CD8 T"
"35","CD8 T"
"36","CD4 T"
"37","B"
"38","CD4 T"
"39","CD4 T"
"40","CD4 T"
"41","CD4 T"
"42","other"
"43","B"
"44","B"
"45","other"
"46","B"
"47","B"
"48","CD4 T"
"49","CD4 T"
"50","CD4 T"
"51","other"
"52","CD8 T"
"53","CD4 T"
"54","other"
"55","CD4 T"
"56","other"
"57","Mono"
"58","CD8 T"
"59","B"
"60","other"
"61","CD4 T"
"62","other"
"63","CD4 T"
"64","CD4 T"
"65","other"
"66","Mono"
"67","CD4 T"
"68","CD8 T"
"69","CD8 T"
"70","CD4 T"
"71","CD4 T"
"72","other T"
"73","CD8 T"
"74","B"
"75","CD4 T"
"76","other T"
"77","other T"
"78","CD4 T"
"79","other"
"80","CD8 T"
"81","CD4 T"
"82","other"
"83","CD4 T"
"84","CD4 T"
"85","other"
"86","CD4 T"
"87","CD8 T"
"88","NK"
"89","B"
"90","CD4 T"
"91","B"
"92","other T"
"93","CD4 T"
"94","B"
"95","other T"
"96","CD4 T"
"97","CD4 T"
"98","CD8 T"
"99","other"
"100","CD4 T"
"101","CD8 T"
"102","B"
"103","CD4 T"
"104","CD8 T"
"105","CD4 T"
"106","CD4 T"
"107","CD4 T"
"108","CD4 T"
"109","CD4 T"
"110","CD8 T"
"111","CD4 T"
"112","CD4 T"
"113","other T"
"114","CD4 T"
"115","CD4 T"
"116","other"
"117","CD4 T"
"118","NK"
"119","CD4 T"
"120","CD4 T"
"121","CD4 T"
"122","CD8 T"
"123","CD4 T"
"124","CD8 T"
"125","B"
"126","B"
"127","CD4 T"
"128","CD4 T"
"129","NK"
"130","CD8 T"
"131","CD4 T"
"132","NK"
"133","CD4 T"
"134","CD4 T"
"135","other"
"136","B"
"137","CD8 T"
"138","CD4 T"
"139","CD4 T"
"140","NK"
"141","CD4 T"
"142","B"
"143","CD4 T"
"144","other"
"145","CD8 T"
"146","B"
"147","CD4 T"
"148","CD4 T"
"149","B"
"150","other"
"151","CD4 T"
"152","CD4 T"
"153","CD4 T"
"154","CD4 T"
"155","CD4 T"
"156","CD4 T"
"157","other T"
"158","B"
"159","B"
"160","CD8 T"
"161","other"
"162","B"
