"","x"
"1","CD8 TEM_2"
"2","CD4 Naive"
"3","gdT_1"
"4","CD8 Naive"
"5","CD8 Naive"
"6","CD4 Naive"
"7","CD4 Naive"
"8","CD4 Naive"
"9","CD8 TEM_2"
"10","CD8 TEM_1"
"11","CD4 TCM_1"
"12","HSPC"
"13","CD16 Mono"
"14","CD4 Naive"
"15","CD4 Naive"
"16","CD4 Naive"
"17","CD4 Naive"
"18","CD4 TCM_3"
"19","CD4 TEM_2"
"20","pDC"
"21","CD4 Naive"
"22","CD4 Naive"
"23","CD4 Naive"
"24","CD4 Naive"
"25","Treg Memory"
"26","HSPC"
"27","CD8 Naive"
"28","CD4 Naive"
"29","CD4 Naive"
"30","CD4 TEM_2"
"31","CD8 TEM_1"
"32","CD4 TCM_3"
"33","CD4 TCM_1"
"34","CD4 Naive"
"35","dnT_2"
"36","CD8 TEM_2"
"37","Treg Memory"
"38","CD4 Naive"
"39","B naive kappa"
"40","MAIT"
"41","CD8 TEM_2"
"42","CD8 TEM_2"
"43","CD4 TCM_3"
"44","B naive kappa"
"45","CD4 Naive"
"46","CD8 Naive"
"47","CD4 Naive"
"48","MAIT"
"49","CD4 TCM_1"
"50","Treg Memory"
"51","CD4 Naive"
"52","CD4 Naive"
"53","Treg Memory"
"54","CD4 TCM_1"
"55","CD8 TEM_6"
"56","CD8 Naive"
"57","CD4 TCM_1"
"58","CD8 Naive"
"59","CD4 Naive"
"60","CD8 Naive"
"61","CD8 TEM_6"
"62","Treg Memory"
"63","CD8 TEM_1"
"64","CD4 TCM_3"
"65","CD4 Naive"
"66","CD8 Naive"
"67","CD8 Naive"
"68","CD4 Naive"
"69","CD4 Naive"
"70","dnT_2"
"71","CD4 TCM_1"
"72","CD4 Naive"
"73","CD4 Naive"
"74","CD4 TCM_3"
"75","CD8 Naive"
"76","CD8 Naive"
"77","CD8 TEM_6"
"78","CD4 Naive"
"79","NK_2"
"80","B naive kappa"
"81","dnT_2"
"82","CD4 Naive"
"83","CD8 TCM_3"
"84","CD4 Naive"
"85","CD4 TCM_2"
"86","CD8 Naive"
"87","CD8 TEM_2"
"88","B naive kappa"
"89","CD4 Naive"
"90","CD4 Naive"
"91","CD4 TCM_3"
"92","CD8 TEM_6"
"93","CD4 Naive"
"94","CD4 Naive"
"95","CD4 TCM_1"
"96","CD4 Naive"
"97","NK_2"
"98","CD4 Naive"
"99","CD4 TCM_1"
"100","NK_2"
"101","CD4 Naive"
"102","CD14 Mono"
"103","B intermediate lambda"
"104","CD4 Naive"
"105","CD4 TCM_1"
"106","CD4 TEM_2"
"107","NK_2"
"108","HSPC"
"109","CD4 Naive"
"110","CD4 Naive"
"111","CD8 TEM_2"
"112","gdT_3"
"113","CD8 TCM_3"
"114","NK_2"
"115","MAIT"
"116","CD4 Naive"
"117","B intermediate kappa"
"118","CD4 Naive"
"119","dnT_2"
"120","CD16 Mono"
